رقم البلوك / Block Number2,رقم القطعة / Land Number,النموذج / Model,مساحة الأرض / Land Area,Build-UP Area,عدد غرف النوم / Number of Bedrooms,عدد دورات المياه / Number Of Bathrooms ,Master Bedroom size / مساحة غرفة النوم الرئيسية,Living Room size / مساحة غرفة المعيشة,Kitchen size / مساحة المطبخ,Guestroom size / مساحة المجلس,Unit front compass / واجهة الوحدة,Availability,,,,
1,1,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
1,2,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
1,3,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,4,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,5,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,6,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,7,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
1,8,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
1,9,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,10,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,11,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,12,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
1,13,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
1,14,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
2,15,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
2,16,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
2,17,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
2,18,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
2,19,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
2,20,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved ,,,,
2,21,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
2,22,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
2,23,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
2,24,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
2,25,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
2,26,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
2,27,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
2,28,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
3,29,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
3,30,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
3,31,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
3,32,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
3,33,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
3,34,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
3,35,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
3,36,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
3,37,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
3,38,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
3,39,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
4,40,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
4,41,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
4,42,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,43,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,44,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,45,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,46,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,47,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,48,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
4,49,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
4,50,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,51,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,52,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,53,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,54,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
4,55,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
4,56,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
5,57,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
5,58,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
5,59,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,60,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,61,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,62,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,63,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
5,64,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
5,65,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,66,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,67,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,68,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
5,69,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
5,70,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,71,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,72,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,73,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,74,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,75,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,76,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,77,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,78,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,79,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,80,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,81,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,82,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,83,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,84,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,85,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,86,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,87,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,88,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,89,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,90,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,91,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,92,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,93,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,94,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,95,B (Zero Lot),285.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
7,96,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
7,97,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,98,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,99,B (Zero Lot),300.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
7,100,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
7,101,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
7,102,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,103,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
7,104,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved ,,,,
7,105,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
7,106,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,107,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
7,108,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
8,109,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
8,110,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
8,111,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved,,,,
